XXX-LFDNR;XXX-SNR;XXX-PFNR;XXX-KTO;XXX-KART;XXX-BUDAT;XXX-VALUTA;XXX-REFNR1;XXX-UMART;XXX-TEXT1;XXX-TEXT2;XXX-TEXT3;XXX-TEXT4;XXX-SALDO;XXX-WHG;XXX-IBAN;XXX-NAME1;XXX-NAME2;XXX-KURSB;XXX-TEXT5;XXX-TEXT6;XXX-TEXT7;XXX-TEXT8;XXX-PFBEZ1;XXX-PFBEZ2;XXX-VVSNR;XXX-UMARTSCHL;XXX-TEXT9;XXX-TEXT10;XXX-TEXT11;XXX-TEXT12;XXX-TEXT13;XXX-TEXT14;XXX-TEXT15;XXX-TEXT16;XXX-TEXT17;XXX-TEXT18;XXX-AUSBEZ1;XXX-ENDTKPA
1;2752874;01;2752874004;Kontokorrentkonto;20230801;20230801;-;Saldovortrag;-;-;-;-;690,76;EUR;DE59XXXXXXXXXXXXXX;User1;;1;-;-;-;-;;;0008555;SLDV;-;-;-;-;-;-;-;-;-;-;;-
2;2752874;01;2752874004;Kontokorrentkonto;20230802;20230802;SCALRzVNUv4qXe1;Ordergebühr;ORDERGEBUEHR;REF:SCALRzVNUv4qXe1;;;-0,99;EUR;DE59XXXXXXXXXXXXXX;User1;;1;;;;;;;0008555;SCBR;;;;;;;;;;;;-
3;2752874;01;2752874004;Kontokorrentkonto;20230802;20230801;WWEK 16100100;Coupons/Dividende;VERIZON COMM. INC. DL-,10;ISIN US92343V1044;STK              14;17289983;7,08;EUR;DE59XXXXXXXXXXXXXX;User1;;1;;;;;;;0008555;MBCP;;;;;;;;;;;;-
4;2752874;01;2752874004;Kontokorrentkonto;20230802;20230802;-;Saldo;-;-;-;-;696,85;EUR;DE59XXXXXXXXXXXXXX;User1;;1;-;-;-;-;;;0008555;SLDO;-;-;-;-;-;-;-;-;-;-;;-
